year,county,cause,sex,age_code,N
107,101,1,1,16,1
107,101,1,1,18,1
107,101,1,1,19,3
107,101,1,1,20,1
107,101,1,1,21,1
107,101,1,1,24,1
107,101,1,2,21,1
107,101,1,2,24,1
107,101,2,1,20,1
107,101,3,2,22,1
107,101,4,1,18,5
107,101,4,1,22,1
107,101,4,1,23,1
107,101,5,1,14,1
107,101,5,1,16,1
107,101,5,1,18,1
107,101,5,1,19,3
107,101,5,1,20,1
107,101,5,1,21,2
107,101,5,1,22,1
107,101,5,1,23,3
107,101,5,1,24,1
107,101,5,2,14,1
107,101,5,2,15,1
107,101,5,2,17,1
107,101,5,2,18,1
107,101,5,2,19,1
107,101,5,2,20,1
107,101,5,2,21,5
107,101,5,2,22,1
107,101,5,2,23,1
107,101,5,2,25,1
107,101,6,1,19,1
107,101,6,2,18,1
107,101,7,1,13,1
107,101,7,1,15,1
107,101,7,1,16,2
107,101,7,1,17,2
107,101,7,1,18,3
107,101,7,1,19,3
107,101,7,1,20,2
107,101,7,1,21,5
107,101,7,1,22,3
107,101,7,1,23,4
107,101,7,1,24,5
107,101,7,2,14,1
107,101,7,2,15,1
107,101,7,2,17,3
107,101,7,2,18,2
107,101,7,2,19,7
107,101,7,2,20,2
107,101,7,2,21,5
107,101,7,2,22,3
107,101,7,2,23,2
107,101,7,2,24,6
107,101,7,2,25,1
107,101,8,1,14,1
107,101,8,1,15,2
107,101,8,1,16,2
107,101,8,1,17,4
107,101,8,1,18,7
107,101,8,1,19,2
107,101,8,1,20,8
107,101,8,1,21,7
107,101,8,1,22,6
107,101,8,1,23,2
107,101,8,2,18,2
107,101,8,2,19,1
107,101,8,2,20,1
107,101,8,2,21,4
107,101,8,2,22,2
107,101,8,2,23,3
107,101,8,2,24,1
107,101,9,2,23,3
107,101,9,2,24,1
107,101,10,1,15,2
107,101,10,1,16,1
107,101,10,1,17,1
107,101,10,1,22,1
107,101,10,1,24,1
107,101,10,1,25,1
107,101,10,2,18,1
107,101,10,2,21,4
107,101,10,2,22,3
107,101,10,2,23,2
107,101,10,2,24,2
107,101,12,1,23,1
107,101,13,1,15,1
107,101,13,1,16,2
107,101,13,1,17,5
107,101,13,1,18,4
107,101,13,1,19,11
107,101,13,1,20,8
107,101,13,1,21,4
107,101,13,1,22,10
107,101,13,1,23,5
107,101,13,1,24,2
107,101,13,1,25,1
107,101,13,2,12,1
107,101,13,2,16,2
107,101,13,2,17,1
107,101,13,2,18,3
107,101,13,2,19,4
107,101,13,2,20,7
107,101,13,2,21,6
107,101,13,2,22,6
107,101,13,2,23,3
107,101,13,2,24,3
107,101,18,2,18,1
107,101,18,2,19,1
107,101,18,2,20,2
107,101,18,2,21,2
107,101,18,2,23,1
107,101,19,2,13,1
